asset_id,source_system,asset_type,technical_name,source_ref,field_count,nullable_field_count,non_nullable_field_count,numeric_field_count,date_field_count,text_field_count,large_text_field_count,avg_data_length,max_data_length,row_count,size_bytes,size_mb,has_profile_data,label_raw,label_normalized
1005259,oracle,oracle_table,SYSADM.PS_AM_BI_NOTE8,PS_AM_BI_NOTE8,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1005260,oracle,oracle_table,SYSADM.PS_AM_BI_TA1,PS_AM_BI_TA1,21,1,20,4,1,16,0,20.714285714285715,254.0,0.0,0.0,0.0,VRAI,Finance,Finance
1005261,oracle,oracle_table,SYSADM.PS_AM_BI_TA11,PS_AM_BI_TA11,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1005262,oracle,oracle_table,SYSADM.PS_AM_BI_TA12,PS_AM_BI_TA12,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1005263,oracle,oracle_table,SYSADM.PS_AM_BI_TA13,PS_AM_BI_TA13,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1005264,oracle,oracle_table,SYSADM.PS_AM_BI_TA14,PS_AM_BI_TA14,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1005265,oracle,oracle_table,SYSADM.PS_AM_BI_TA15,PS_AM_BI_TA15,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1005266,oracle,oracle_table,SYSADM.PS_AM_BI_TA16,PS_AM_BI_TA16,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1005267,oracle,oracle_table,SYSADM.PS_AM_BI_TA17,PS_AM_BI_TA17,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1005268,oracle,oracle_table,SYSADM.PS_AM_BI_TA18,PS_AM_BI_TA18,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
